syd,did,wei,symptom,diagnose,symptom_index,symptom_vec,diagnose_index,diagnose_vec,symptom_vec_scaled,diagnose_vec_scaled,features,prediction
16.0,187.0,0.0,Constipation,Constipation,73.0,"(246,[73],[1.0])",89.0,"(1156,[89],[1.0])","(246,[73],[1.0])","(1156,[89],[1.0])","(1402,[73,335],[1.0,1.0])",0
36.0,187.0,0.0,"Cranky, crying, fussy, irritable child",Constipation,38.0,"(246,[38],[1.0])",89.0,"(1156,[89],[1.0])","(246,[38],[1.0])","(1156,[89],[1.0])","(1402,[38,335],[1.0,1.0])",0
37.0,187.0,0.0,Groin pain,Constipation,21.0,"(246,[21],[1.0])",89.0,"(1156,[89],[1.0])","(246,[21],[1.0])","(1156,[89],[1.0])","(1402,[21,335],[1.0,1.0])",0
49.0,187.0,0.0,Incontinence (leaking urine),Constipation,85.0,"(246,[85],[1.0])",89.0,"(1156,[89],[1.0])","(246,[85],[1.0])","(1156,[89],[1.0])","(1402,[85,335],[1.0,1.0])",0
66.0,187.0,0.0,Nausea,Constipation,14.0,"(246,[14],[1.0])",89.0,"(1156,[89],[1.0])","(246,[14],[1.0])","(1156,[89],[1.0])","(1402,[14,335],[1.0,1.0])",0
148.0,187.0,2.0,Urinary retention (Inability to urinate),Constipation,165.0,"(246,[165],[1.0])",89.0,"(1156,[89],[1.0])","(246,[165],[1.0])","(1156,[89],[1.0])","(1402,[165,335],[1.0,1.0])",0
173.0,187.0,2.0,Abdominal swelling (Stomach swelling),Constipation,45.0,"(246,[45],[1.0])",89.0,"(1156,[89],[1.0])","(246,[45],[1.0])","(1156,[89],[1.0])","(1402,[45,335],[1.0,1.0])",0
275.0,187.0,0.0,Low back ache or pain,Constipation,13.0,"(246,[13],[1.0])",89.0,"(1156,[89],[1.0])","(246,[13],[1.0])","(1156,[89],[1.0])","(1402,[13,335],[1.0,1.0])",0
264.0,187.0,2.0,Stomach and abdominal pain,Constipation,4.0,"(246,[4],[1.0])",89.0,"(1156,[89],[1.0])","(246,[4],[1.0])","(1156,[89],[1.0])","(1402,[4,335],[1.0,1.0])",0
1.0,306.0,2.0,Upper abdominal pain,Gastric ulcerstomach ulcer,23.0,"(246,[23],[1.0])",206.0,"(1156,[206],[1.0])","(246,[23],[1.0])","(1156,[206],[1.0])","(1402,[23,452],[1.0,1.0])",0
4.0,306.0,1.0,Alcohol abuse,Gastric ulcerstomach ulcer,140.0,"(246,[140],[1.0])",206.0,"(1156,[206],[1.0])","(246,[140],[1.0])","(1156,[206],[1.0])","(1402,[140,452],[1.0,1.0])",0
66.0,306.0,1.0,Nausea,Gastric ulcerstomach ulcer,14.0,"(246,[14],[1.0])",206.0,"(1156,[206],[1.0])","(246,[14],[1.0])","(1156,[206],[1.0])","(1402,[14,452],[1.0,1.0])",0
155.0,306.0,2.0,Melena (Black stools from blood),Gastric ulcerstomach ulcer,187.0,"(246,[187],[1.0])",206.0,"(1156,[206],[1.0])","(246,[187],[1.0])","(1156,[206],[1.0])","(1402,[187,452],[1.0,1.0])",0
156.0,306.0,3.0,Vomiting coffee ground material,Gastric ulcerstomach ulcer,176.0,"(246,[176],[1.0])",206.0,"(1156,[206],[1.0])","(246,[176],[1.0])","(1156,[206],[1.0])","(1402,[176,452],[1.0,1.0])",0
218.0,306.0,1.0,Maroon stools,Gastric ulcerstomach ulcer,136.0,"(246,[136],[1.0])",206.0,"(1156,[206],[1.0])","(246,[136],[1.0])","(1156,[206],[1.0])","(1402,[136,452],[1.0,1.0])",0
264.0,306.0,2.0,Stomach and abdominal pain,Gastric ulcerstomach ulcer,4.0,"(246,[4],[1.0])",206.0,"(1156,[206],[1.0])","(246,[4],[1.0])","(1156,[206],[1.0])","(1402,[4,452],[1.0,1.0])",0
1.0,307.0,1.0,Upper abdominal pain,Gastritisstomach inflammation,23.0,"(246,[23],[1.0])",62.0,"(1156,[62],[1.0])","(246,[23],[1.0])","(1156,[62],[1.0])","(1402,[23,308],[1.0,1.0])",0
7.0,307.0,0.0,Back ache or pain,Gastritisstomach inflammation,5.0,"(246,[5],[1.0])",62.0,"(1156,[62],[1.0])","(246,[5],[1.0])","(1156,[62],[1.0])","(1402,[5,308],[1.0,1.0])",0
9.0,307.0,1.0,Blood in vomit,Gastritisstomach inflammation,72.0,"(246,[72],[1.0])",62.0,"(1156,[62],[1.0])","(246,[72],[1.0])","(1156,[62],[1.0])","(1402,[72,308],[1.0,1.0])",0
13.0,307.0,0.0,Chest pressure,Gastritisstomach inflammation,27.0,"(246,[27],[1.0])",62.0,"(1156,[62],[1.0])","(246,[27],[1.0])","(1156,[62],[1.0])","(1402,[27,308],[1.0,1.0])",0
18.0,307.0,1.0,Dark stools,Gastritisstomach inflammation,166.0,"(246,[166],[1.0])",62.0,"(1156,[62],[1.0])","(246,[166],[1.0])","(1156,[62],[1.0])","(1402,[166,308],[1.0,1.0])",0
36.0,307.0,0.0,"Cranky, crying, fussy, irritable child",Gastritisstomach inflammation,38.0,"(246,[38],[1.0])",62.0,"(1156,[62],[1.0])","(246,[38],[1.0])","(1156,[62],[1.0])","(1402,[38,308],[1.0,1.0])",0
66.0,307.0,2.0,Nausea,Gastritisstomach inflammation,14.0,"(246,[14],[1.0])",62.0,"(1156,[62],[1.0])","(246,[14],[1.0])","(1156,[62],[1.0])","(1402,[14,308],[1.0,1.0])",0
113.0,307.0,0.0,Vomiting,Gastritisstomach inflammation,11.0,"(246,[11],[1.0])",62.0,"(1156,[62],[1.0])","(246,[11],[1.0])","(1156,[62],[1.0])","(1402,[11,308],[1.0,1.0])",0
155.0,307.0,2.0,Melena (Black stools from blood),Gastritisstomach inflammation,187.0,"(246,[187],[1.0])",62.0,"(1156,[62],[1.0])","(246,[187],[1.0])","(1156,[62],[1.0])","(1402,[187,308],[1.0,1.0])",0
156.0,307.0,2.0,Vomiting coffee ground material,Gastritisstomach inflammation,176.0,"(246,[176],[1.0])",62.0,"(1156,[62],[1.0])","(246,[176],[1.0])","(1156,[62],[1.0])","(1402,[176,308],[1.0,1.0])",0
218.0,307.0,0.0,Maroon stools,Gastritisstomach inflammation,136.0,"(246,[136],[1.0])",62.0,"(1156,[62],[1.0])","(246,[136],[1.0])","(1156,[62],[1.0])","(1402,[136,308],[1.0,1.0])",0
275.0,307.0,0.0,Low back ache or pain,Gastritisstomach inflammation,13.0,"(246,[13],[1.0])",62.0,"(1156,[62],[1.0])","(246,[13],[1.0])","(1156,[62],[1.0])","(1402,[13,308],[1.0,1.0])",0
264.0,307.0,1.0,Stomach and abdominal pain,Gastritisstomach inflammation,4.0,"(246,[4],[1.0])",62.0,"(1156,[62],[1.0])","(246,[4],[1.0])","(1156,[62],[1.0])","(1402,[4,308],[1.0,1.0])",0
1.0,308.0,2.0,Upper abdominal pain,Gastroenteritisintestinal infection,23.0,"(246,[23],[1.0])",63.0,"(1156,[63],[1.0])","(246,[23],[1.0])","(1156,[63],[1.0])","(1402,[23,309],[1.0,1.0])",0
2.0,308.0,0.0,Lower abdominal pain,Gastroenteritisintestinal infection,20.0,"(246,[20],[1.0])",63.0,"(1156,[63],[1.0])","(246,[20],[1.0])","(1156,[63],[1.0])","(1402,[20,309],[1.0,1.0])",0
9.0,308.0,0.0,Blood in vomit,Gastroenteritisintestinal infection,72.0,"(246,[72],[1.0])",63.0,"(1156,[63],[1.0])","(246,[72],[1.0])","(1156,[63],[1.0])","(1402,[72,309],[1.0,1.0])",0
14.0,308.0,0.0,Chills,Gastroenteritisintestinal infection,77.0,"(246,[77],[1.0])",63.0,"(1156,[63],[1.0])","(246,[77],[1.0])","(1156,[63],[1.0])","(1402,[77,309],[1.0,1.0])",0
20.0,308.0,0.0,Diarrhea,Gastroenteritisintestinal infection,40.0,"(246,[40],[1.0])",63.0,"(1156,[63],[1.0])","(246,[40],[1.0])","(1156,[63],[1.0])","(1402,[40,309],[1.0,1.0])",0
21.0,308.0,0.0,Dizziness,Gastroenteritisintestinal infection,1.0,"(246,[1],[1.0])",63.0,"(1156,[63],[1.0])","(246,[1],[1.0])","(1156,[63],[1.0])","(1402,[1,309],[1.0,1.0])",0
29.0,308.0,0.0,Fever,Gastroenteritisintestinal infection,19.0,"(246,[19],[1.0])",63.0,"(1156,[63],[1.0])","(246,[19],[1.0])","(1156,[63],[1.0])","(1402,[19,309],[1.0,1.0])",0
36.0,308.0,2.0,"Cranky, crying, fussy, irritable child",Gastroenteritisintestinal infection,38.0,"(246,[38],[1.0])",63.0,"(1156,[63],[1.0])","(246,[38],[1.0])","(1156,[63],[1.0])","(1402,[38,309],[1.0,1.0])",0
37.0,308.0,0.0,Groin pain,Gastroenteritisintestinal infection,21.0,"(246,[21],[1.0])",63.0,"(1156,[63],[1.0])","(246,[21],[1.0])","(1156,[63],[1.0])","(1402,[21,309],[1.0,1.0])",0
66.0,308.0,2.0,Nausea,Gastroenteritisintestinal infection,14.0,"(246,[14],[1.0])",63.0,"(1156,[63],[1.0])","(246,[14],[1.0])","(1156,[63],[1.0])","(1402,[14,309],[1.0,1.0])",0
113.0,308.0,2.0,Vomiting,Gastroenteritisintestinal infection,11.0,"(246,[11],[1.0])",63.0,"(1156,[63],[1.0])","(246,[11],[1.0])","(1156,[63],[1.0])","(1402,[11,309],[1.0,1.0])",0
218.0,308.0,0.0,Maroon stools,Gastroenteritisintestinal infection,136.0,"(246,[136],[1.0])",63.0,"(1156,[63],[1.0])","(246,[136],[1.0])","(1156,[63],[1.0])","(1402,[136,309],[1.0,1.0])",0
264.0,308.0,2.0,Stomach and abdominal pain,Gastroenteritisintestinal infection,4.0,"(246,[4],[1.0])",63.0,"(1156,[63],[1.0])","(246,[4],[1.0])","(1156,[63],[1.0])","(1402,[4,309],[1.0,1.0])",0
1.0,309.0,2.0,Upper abdominal pain,"Gastroesophageal refluxGERD, heartburn",23.0,"(246,[23],[1.0])",27.0,"(1156,[27],[1.0])","(246,[23],[1.0])","(1156,[27],[1.0])","(1402,[23,273],[1.0,1.0])",0
2.0,309.0,0.0,Lower abdominal pain,"Gastroesophageal refluxGERD, heartburn",20.0,"(246,[20],[1.0])",27.0,"(1156,[27],[1.0])","(246,[20],[1.0])","(1156,[27],[1.0])","(1402,[20,273],[1.0,1.0])",0
9.0,309.0,0.0,Blood in vomit,"Gastroesophageal refluxGERD, heartburn",72.0,"(246,[72],[1.0])",27.0,"(1156,[27],[1.0])","(246,[72],[1.0])","(1156,[27],[1.0])","(1402,[72,273],[1.0,1.0])",0
13.0,309.0,2.0,Chest pressure,"Gastroesophageal refluxGERD, heartburn",27.0,"(246,[27],[1.0])",27.0,"(1156,[27],[1.0])","(246,[27],[1.0])","(1156,[27],[1.0])","(1402,[27,273],[1.0,1.0])",0
17.0,309.0,1.0,Cough,"Gastroesophageal refluxGERD, heartburn",30.0,"(246,[30],[1.0])",27.0,"(1156,[27],[1.0])","(246,[30],[1.0])","(1156,[27],[1.0])","(1402,[30,273],[1.0,1.0])",0
17.0,309.0,1.0,Cough,"Gastroesophageal refluxGERD, heartburn",30.0,"(246,[30],[1.0])",27.0,"(1156,[27],[1.0])","(246,[30],[1.0])","(1156,[27],[1.0])","(1402,[30,273],[1.0,1.0])",0
36.0,309.0,0.0,"Cranky, crying, fussy, irritable child","Gastroesophageal refluxGERD, heartburn",38.0,"(246,[38],[1.0])",27.0,"(1156,[27],[1.0])","(246,[38],[1.0])","(1156,[27],[1.0])","(1402,[38,273],[1.0,1.0])",0
47.0,309.0,0.0,Hoarse voice,"Gastroesophageal refluxGERD, heartburn",147.0,"(246,[147],[1.0])",27.0,"(1156,[27],[1.0])","(246,[147],[1.0])","(1156,[27],[1.0])","(1402,[147,273],[1.0,1.0])",0
66.0,309.0,0.0,Nausea,"Gastroesophageal refluxGERD, heartburn",14.0,"(246,[14],[1.0])",27.0,"(1156,[27],[1.0])","(246,[14],[1.0])","(1156,[27],[1.0])","(1402,[14,273],[1.0,1.0])",0
93.0,309.0,0.0,Sore throat,"Gastroesophageal refluxGERD, heartburn",39.0,"(246,[39],[1.0])",27.0,"(1156,[27],[1.0])","(246,[39],[1.0])","(1156,[27],[1.0])","(1402,[39,273],[1.0,1.0])",0
98.0,309.0,2.0,Swallowing problem (Dysphagia),"Gastroesophageal refluxGERD, heartburn",52.0,"(246,[52],[1.0])",27.0,"(1156,[27],[1.0])","(246,[52],[1.0])","(1156,[27],[1.0])","(1402,[52,273],[1.0,1.0])",0
113.0,309.0,0.0,Vomiting,"Gastroesophageal refluxGERD, heartburn",11.0,"(246,[11],[1.0])",27.0,"(1156,[27],[1.0])","(246,[11],[1.0])","(1156,[27],[1.0])","(1402,[11,273],[1.0,1.0])",0
120.0,309.0,0.0,Throat pain,"Gastroesophageal refluxGERD, heartburn",48.0,"(246,[48],[1.0])",27.0,"(1156,[27],[1.0])","(246,[48],[1.0])","(1156,[27],[1.0])","(1402,[48,273],[1.0,1.0])",0
181.0,309.0,2.0,Flatulence (Passing gas),"Gastroesophageal refluxGERD, heartburn",202.0,"(246,[202],[1.0])",27.0,"(1156,[27],[1.0])","(246,[202],[1.0])","(1156,[27],[1.0])","(1402,[202,273],[1.0,1.0])",0
239.0,309.0,2.0,Chest burning,"Gastroesophageal refluxGERD, heartburn",46.0,"(246,[46],[1.0])",27.0,"(1156,[27],[1.0])","(246,[46],[1.0])","(1156,[27],[1.0])","(1402,[46,273],[1.0,1.0])",0
262.0,309.0,2.0,Chest pain,"Gastroesophageal refluxGERD, heartburn",0.0,"(246,[0],[1.0])",27.0,"(1156,[27],[1.0])","(246,[0],[1.0])","(1156,[27],[1.0])","(1402,[0,273],[1.0,1.0])",0
264.0,309.0,2.0,Stomach and abdominal pain,"Gastroesophageal refluxGERD, heartburn",4.0,"(246,[4],[1.0])",27.0,"(1156,[27],[1.0])","(246,[4],[1.0])","(1156,[27],[1.0])","(1402,[4,273],[1.0,1.0])",0
1.0,354.0,1.0,Upper abdominal pain,Hiatal herniastomach pushes through diaphragm,23.0,"(246,[23],[1.0])",259.0,"(1156,[259],[1.0])","(246,[23],[1.0])","(1156,[259],[1.0])","(1402,[23,505],[1.0,1.0])",0
9.0,354.0,0.0,Blood in vomit,Hiatal herniastomach pushes through diaphragm,72.0,"(246,[72],[1.0])",259.0,"(1156,[259],[1.0])","(246,[72],[1.0])","(1156,[259],[1.0])","(1402,[72,505],[1.0,1.0])",0
13.0,354.0,1.0,Chest pressure,Hiatal herniastomach pushes through diaphragm,27.0,"(246,[27],[1.0])",259.0,"(1156,[259],[1.0])","(246,[27],[1.0])","(1156,[259],[1.0])","(1402,[27,505],[1.0,1.0])",0
239.0,354.0,2.0,Chest burning,Hiatal herniastomach pushes through diaphragm,46.0,"(246,[46],[1.0])",259.0,"(1156,[259],[1.0])","(246,[46],[1.0])","(1156,[259],[1.0])","(1402,[46,505],[1.0,1.0])",0
262.0,354.0,1.0,Chest pain,Hiatal herniastomach pushes through diaphragm,0.0,"(246,[0],[1.0])",259.0,"(1156,[259],[1.0])","(246,[0],[1.0])","(1156,[259],[1.0])","(1402,[0,505],[1.0,1.0])",0
264.0,354.0,1.0,Stomach and abdominal pain,Hiatal herniastomach pushes through diaphragm,4.0,"(246,[4],[1.0])",259.0,"(1156,[259],[1.0])","(246,[4],[1.0])","(1156,[259],[1.0])","(1402,[4,505],[1.0,1.0])",0
1.0,401.0,1.0,Upper abdominal pain,"Irritable bowel syndromeIBS, chronic intestinal pain and cramping",23.0,"(246,[23],[1.0])",113.0,"(1156,[113],[1.0])","(246,[23],[1.0])","(1156,[113],[1.0])","(1402,[23,359],[1.0,1.0])",0
2.0,401.0,1.0,Lower abdominal pain,"Irritable bowel syndromeIBS, chronic intestinal pain and cramping",20.0,"(246,[20],[1.0])",113.0,"(1156,[113],[1.0])","(246,[20],[1.0])","(1156,[113],[1.0])","(1402,[20,359],[1.0,1.0])",0
16.0,401.0,2.0,Constipation,"Irritable bowel syndromeIBS, chronic intestinal pain and cramping",73.0,"(246,[73],[1.0])",113.0,"(1156,[113],[1.0])","(246,[73],[1.0])","(1156,[113],[1.0])","(1402,[73,359],[1.0,1.0])",0
20.0,401.0,2.0,Diarrhea,"Irritable bowel syndromeIBS, chronic intestinal pain and cramping",40.0,"(246,[40],[1.0])",113.0,"(1156,[113],[1.0])","(246,[40],[1.0])","(1156,[113],[1.0])","(1402,[40,359],[1.0,1.0])",0
66.0,401.0,0.0,Nausea,"Irritable bowel syndromeIBS, chronic intestinal pain and cramping",14.0,"(246,[14],[1.0])",113.0,"(1156,[113],[1.0])","(246,[14],[1.0])","(1156,[113],[1.0])","(1402,[14,359],[1.0,1.0])",0
74.0,401.0,1.0,Pelvic pain,"Irritable bowel syndromeIBS, chronic intestinal pain and cramping",151.0,"(246,[151],[1.0])",113.0,"(1156,[113],[1.0])","(246,[151],[1.0])","(1156,[113],[1.0])","(1402,[151,359],[1.0,1.0])",0
173.0,401.0,1.0,Abdominal swelling (Stomach swelling),"Irritable bowel syndromeIBS, chronic intestinal pain and cramping",45.0,"(246,[45],[1.0])",113.0,"(1156,[113],[1.0])","(246,[45],[1.0])","(1156,[113],[1.0])","(1402,[45,359],[1.0,1.0])",0
181.0,401.0,1.0,Flatulence (Passing gas),"Irritable bowel syndromeIBS, chronic intestinal pain and cramping",202.0,"(246,[202],[1.0])",113.0,"(1156,[113],[1.0])","(246,[202],[1.0])","(1156,[113],[1.0])","(1402,[202,359],[1.0,1.0])",0
218.0,401.0,0.0,Maroon stools,"Irritable bowel syndromeIBS, chronic intestinal pain and cramping",136.0,"(246,[136],[1.0])",113.0,"(1156,[113],[1.0])","(246,[136],[1.0])","(1156,[113],[1.0])","(1402,[136,359],[1.0,1.0])",0
264.0,401.0,1.0,Stomach and abdominal pain,"Irritable bowel syndromeIBS, chronic intestinal pain and cramping",4.0,"(246,[4],[1.0])",113.0,"(1156,[113],[1.0])","(246,[4],[1.0])","(1156,[113],[1.0])","(1402,[4,359],[1.0,1.0])",0
1.0,411.0,1.0,Upper abdominal pain,Bowel obstructionintestinal blockage,23.0,"(246,[23],[1.0])",695.0,"(1156,[695],[1.0])","(246,[23],[1.0])","(1156,[695],[1.0])","(1402,[23,941],[1.0,1.0])",0
173.0,411.0,1.0,Abdominal swelling (Stomach swelling),Bowel obstructionintestinal blockage,45.0,"(246,[45],[1.0])",695.0,"(1156,[695],[1.0])","(246,[45],[1.0])","(1156,[695],[1.0])","(1402,[45,941],[1.0,1.0])",0
1.0,513.0,1.0,Upper abdominal pain,Kidney stonenephrolithiasis,23.0,"(246,[23],[1.0])",41.0,"(1156,[41],[1.0])","(246,[23],[1.0])","(1156,[41],[1.0])","(1402,[23,287],[1.0,1.0])",0
2.0,513.0,1.0,Lower abdominal pain,Kidney stonenephrolithiasis,20.0,"(246,[20],[1.0])",41.0,"(1156,[41],[1.0])","(246,[20],[1.0])","(1156,[41],[1.0])","(1402,[20,287],[1.0,1.0])",0
7.0,513.0,2.0,Back ache or pain,Kidney stonenephrolithiasis,5.0,"(246,[5],[1.0])",41.0,"(1156,[41],[1.0])","(246,[5],[1.0])","(1156,[41],[1.0])","(1402,[5,287],[1.0,1.0])",0
32.0,513.0,1.0,Flank pain,Kidney stonenephrolithiasis,59.0,"(246,[59],[1.0])",41.0,"(1156,[41],[1.0])","(246,[59],[1.0])","(1156,[41],[1.0])","(1402,[59,287],[1.0,1.0])",0
33.0,513.0,1.0,Frequent urination (Frequency),Kidney stonenephrolithiasis,145.0,"(246,[145],[1.0])",41.0,"(1156,[41],[1.0])","(246,[145],[1.0])","(1156,[41],[1.0])","(1402,[145,287],[1.0,1.0])",0
37.0,513.0,1.0,Groin pain,Kidney stonenephrolithiasis,21.0,"(246,[21],[1.0])",41.0,"(1156,[41],[1.0])","(246,[21],[1.0])","(1156,[41],[1.0])","(1402,[21,287],[1.0,1.0])",0
49.0,513.0,0.0,Incontinence (leaking urine),Kidney stonenephrolithiasis,85.0,"(246,[85],[1.0])",41.0,"(1156,[41],[1.0])","(246,[85],[1.0])","(1156,[41],[1.0])","(1402,[85,287],[1.0,1.0])",0
54.0,513.0,1.0,Kidney pain (Flank pain),Kidney stonenephrolithiasis,68.0,"(246,[68],[1.0])",41.0,"(1156,[41],[1.0])","(246,[68],[1.0])","(1156,[41],[1.0])","(1402,[68,287],[1.0,1.0])",0
72.0,513.0,1.0,Painful urination,Kidney stonenephrolithiasis,126.0,"(246,[126],[1.0])",41.0,"(1156,[41],[1.0])","(246,[126],[1.0])","(1156,[41],[1.0])","(1402,[126,287],[1.0,1.0])",0
85.0,513.0,1.0,Scrotal pain,Kidney stonenephrolithiasis,198.0,"(246,[198],[1.0])",41.0,"(1156,[41],[1.0])","(246,[198],[1.0])","(1156,[41],[1.0])","(1402,[198,287],[1.0,1.0])",0
113.0,513.0,0.0,Vomiting,Kidney stonenephrolithiasis,11.0,"(246,[11],[1.0])",41.0,"(1156,[41],[1.0])","(246,[11],[1.0])","(1156,[41],[1.0])","(1402,[11,287],[1.0,1.0])",0
